userName;score;at;content;label
Nona Mirza;5;17/12/2023 23.39;Lumayanlah;positif
Dul Chamid;5;17/12/2023 16.46;puas dengan segala fasilitas yang ada thanks threads;positif
Muhammad Haikal;5;17/12/2023 16.11;Kegunaan dari aplikasi ini ap ya aku gak tau guna nya untuk ap buang buang ram GK penting jadi aku kasih bintang lima karena aku gk tau guna nya ap;positif
Annur Akbar Bahagia;1;17/12/2023 08.38;Emang seluruh produk meta gada yg jelass.;negatif
Zaidan Aqmal Danny;5;17/12/2023 08.17;asikk;positif
Shila Aini;1;17/12/2023 06.09;Meta juga ya?;negatif
Sartono Abu bakar;5;17/12/2023 00.20;Top👍;positif
angelina wulandari;5;16/12/2023 17.40;good;positif
Tsaniya A;5;16/12/2023 16.00;seruuuu😻😻😻;positif
A ANSORI;5;16/12/2023 04.04;Baru bergabung;positif
Nasrullah Barru;5;16/12/2023 02.33;Tolonglah 🙋sahabat, 👯👥 tgl aktivitas🙋 16 Desember 2023 🙏🙏🙏;positif
TOPIK BINTANG CERIA;5;15/12/2023 19.12;💫;positif
Syawal BKS;1;15/12/2023 15.49;jelek;negatif
leciii tea;1;15/12/2023 14.19;"apa konyol mau login aja kaga bosa"" terjadi kesalaham mulu pler";negatif
muamanah 023;2;15/12/2023 09.42;Gunanya Aplikasi ini Apa ya? Saya Sebagai Kreator Narasi Film Masih Bingung Penggunaanya??;negatif
Fikri Mhd;5;15/12/2023 09.21;Ok;positif
Alifia mistiasih;5;15/12/2023 07.42;terbaik;positif
Anam badoy01;5;15/12/2023 05.48;Wowwww;positif
Jarang Sharing;4;15/12/2023 05.05;Support Striker and Now Playing, please.;positif
Bng Gito7;5;15/12/2023 02.03;lebih baik lagi disatukan dengan Instragram welcome to;positif
N K;3;14/12/2023 14.38;Untuk tombol like gak selengkap FB;netral
Danang Mayrio;1;14/12/2023 13.37;hese ...lier aing ka sia ...;negatif
suhardin anas;5;14/12/2023 08.43;Terima kasih;positif
Biasa Saja;1;13/12/2023 13.04;gak bisa fyp;negatif
Nathan Gionino;5;13/12/2023 10.18;Hanya orang yang punya instagram wajib punya threads💞🥰;positif
diary zayn;1;13/12/2023 08.49;Sebenarnya saya gak suka aplikasi ini treads terlalu menutupi kebenaran yang terjadi saat ini;negatif
TIPI JONO;5;12/12/2023 14.56;Sejauh ini masih bagus, aman.. belum ada keluhan.. semoga tidak berubah jadi dating apps 😇😇🙌;positif
Bunglon Ninja;1;11/12/2023 23.41;Aplikasi ini gak perlu ada, karena gak penting dan gak jelas, mending Twitter deh;negatif
alie nazwar maxx alens;5;11/12/2023 16.34;media sosial harus netral;positif
Siti Aisah Siregar;1;11/12/2023 05.18;Kenapa setiap buka apk malah out sendiri? Tolonglah perbaiki lagi;negatif
Candra Ganteng;2;10/12/2023 16.40;This app is so stupid;negatif
farizz a;4;10/12/2023 13.47;Enda bisa rubah bio fropile yaaa;positif
Saleh Fajar Pratama;5;10/12/2023 13.47;Bagus;positif
Abd Wahidin;5;10/12/2023 10.38;jadikanlah Al Qur'an sebagai wiradanmu;positif
amirudin sip;4;10/12/2023 10.34;d coba dulu kasih 3 bintang;positif
Intan Purbasari Intan;5;10/12/2023 09.59;ok;positif
Havifah Havifah;3;10/12/2023 09.22;Baru sekali post sih masih belum ramai dikunjungi, nunggu akhir tahun X ya;netral
Ahmad Fikri;2;10/12/2023 07.32;setelah update fitur polling menghilang dan fitur hastag tidak dapat.;negatif
Zoey;5;10/12/2023 06.59;Pengganti twitter🐦🐦;positif
Wahyu Astungkara;4;10/12/2023 03.35;cool;positif
Sya Fa;5;09/12/2023 23.12;baru pemula entah ini kek ig atau gimana, outfit apk thereads ngak ngecewain;positif
Dia mers46;1;09/12/2023 21.24;Sama aja dengan Ig,..saya jadi bingung;negatif
Nita Nurmawati;1;09/12/2023 18.01;Sangat buruk dan tidak netral 🙄;negatif
Raman Kumar;1;09/12/2023 17.03;Sangat mengecewakan;negatif
༺༈꧁༼ཽGཽAཽMཽEཽRཽSཽ ༽꧂༈༻ “n⃢”;5;09/12/2023 08.59;ASIK JUGA MAIN INI,, BARU COBA WAKTU PERTAMA RILIS, JELANG 2 HARI UDAH RIBUAN YG FOLLOW...🤣🤣🤣🤣🤣;positif
Ana Yunita;4;08/12/2023 23.16;sangat menarik;positif
Yoga Pro;4;08/12/2023 12.04;bagus;positif
Febrian Dwi Saputra;5;08/12/2023 02.34;MasyaAllah Aplikasi ini sangat memuaskan;positif
Nur Sakina;5;08/12/2023 02.17;z msih belum puas;positif
Rizky Multazam;2;07/12/2023 22.51;Bad, bug nya banyak;negatif
Ichsan;1;07/12/2023 22.28;Lebih bagusan twitter, dan bukan x;negatif
Yofenrius Nahak Modok;5;07/12/2023 11.37;bagus aplikasinya;positif
Min Hari;1;07/12/2023 09.41;🥺;negatif
Ngadino;5;07/12/2023 06.51;Terima kasih banyak ya;positif
Eddy Abdul Rahman;5;07/12/2023 00.06;Very good.;positif
Ambar Batari;4;06/12/2023 13.03;Bagus;positif
Devid Pingak;5;06/12/2023 12.16;Kalau mau download, JANGAN PERNAH PAKE VIVOOOO;positif
ririyuani atika;1;06/12/2023 11.18;Zero;negatif
Andry kohsasy;5;06/12/2023 08.14;ok;positif
Endang Suherli;5;05/12/2023 17.14;Real Katarsis;positif
Yosina Radja;5;05/12/2023 16.04;𝑴𝒂𝒏𝒕𝒂𝒑;positif
ricky saputro;5;05/12/2023 15.30;Asik;positif
Ahmad Farid;4;05/12/2023 12.33;Size apknya diturunin bang;positif
Rafka prime;5;05/12/2023 11.05;ok lah;positif
Apa Aceh;1;05/12/2023 11.01;Kegunaan apk ini buat apa ya ..?;negatif
HEINRICH HIMMLER;5;04/12/2023 08.39;Coba dulu;positif
nila diah safitriana;1;04/12/2023 06.01;Lemot banget;negatif
Haryati S. Slamet;1;04/12/2023 05.12;Because you are Meta's children. Stop supporting genocide!! Repent now!;negatif
Cut Mutia;5;03/12/2023 19.54;Sangat menikmati dan begitu memberikan inspirasi yang penuh spirit kebersamaan dan ketulusan untuk saling berbagi.;positif
Arrahman Travel Yogyakarta;5;03/12/2023 17.59;pengalaman yang hebat. aku cinta Threads❤️;positif
Siti Ariantilubis;3;03/12/2023 16.46;Susah kali untuk di download 😞;netral
Andi Santoso;2;03/12/2023 15.31;Apk sangat mudah;negatif
BRAYEN Axe;5;03/12/2023 15.11;tolong naikin popularitas akun vxzyb_;positif
Nasib Ganteng;5;03/12/2023 13.27;Muhamat mursid;positif
wisang geni;5;03/12/2023 11.38;Bagus.. kalo bisa kasih opsi terjemah buat yang bahasa asing;positif
Gina Puja;1;03/12/2023 11.37;Huuuuuu;negatif
najla Batam;5;03/12/2023 11.04;Bagus banget Aplikasi nya 😍😍;positif
Karmidi Karmidi;5;03/12/2023 06.44;Apl nya bagus bisa mengikuti perubahan;positif
Yunies;1;03/12/2023 05.52;Ga bagus;negatif
Shunan Prapen;4;03/12/2023 00.18;U re, not human.;positif
Sopyan Sopyan;1;03/12/2023 00.17;Kecewa dengan META..;negatif
Saidaufairah Ayska;1;02/12/2023 15.55;(⁠・⁠o⁠・⁠);negatif
Woelan Ndarie;1;02/12/2023 14.41;Antek zionist!!!!;negatif
Raden Annibongi;5;02/12/2023 14.32;i like;positif
Bang atoy Guterres;5;02/12/2023 13.40;Cukup membantu saya suka;positif
Muchtar Luthfi;5;02/12/2023 11.43;Sungguh menarik dengan kemudahan untuk berbagi juga memberikan komentar yang bisa disertai dengan gambar gambar yang mendukung postingan kita tentunya. Keren aza ya 😃;positif
Reni Kurniawati;1;02/12/2023 10.48;Sama kyk 2 saudaranyaa.. wes lah ga ada harapan;negatif
SADVIBESツ;3;02/12/2023 09.40;Tidak ada fitur terjemahannya;netral
Kushjak 97;1;02/12/2023 09.01;Aplikasi bagus dari meta. Tinggal menambahkan fitur terjemahan bahasa untuk postingan dan komentar seperti di Instagram;negatif
Afif Ahmad;1;02/12/2023 05.57;Gak bermanfaat sama sekali👎🏻👎🏻👎🏻;negatif
randysa Locaferre;5;02/12/2023 05.08;cocok buat curhat setiap hari;positif
Rosa Institute;5;02/12/2023 01.50;meluaskam perspektif.;positif
nam fitri16;1;02/12/2023 01.28;jarang di buka;negatif
RUSDIN 88;5;02/12/2023 01.26;Mantap,;positif
Abdul Wahid;5;02/12/2023 00.57;Ok;positif
Agitsni Alfa Tasya;1;01/12/2023 23.10;Saya masih pake kau cuma karena kau berguna buat ngelawan berita-berita hoax yang disebar Isliesl;negatif
HANA PUSPARINI;1;01/12/2023 22.45;Dasar iblis terlaknat;negatif
Aurelia Kainama;5;01/12/2023 17.54;Oók;positif
Muhammad Deran;5;01/12/2023 16.53;top;positif
Faisal 2404;1;01/12/2023 16.44;Aplikasi tidak berguna;negatif
Jordi Armansyah;1;01/12/2023 15.29;Ya Allah Laknat Yahudi Ya Allah;negatif
davin ridho;1;01/12/2023 15.21;Aplikasi yang tidak berguna;negatif
DAPUR CAKRAWALA ar;1;01/12/2023 14.25;Banyak bug;negatif
Ririz Jan;1;01/12/2023 13.18;👎👎👎👎👎👎;negatif
ainur robiah;1;01/12/2023 12.54;Jelek;negatif
Anna Rustina;1;01/12/2023 12.28;Sama aja aplikasi eror.. Semuanya pada eror.. Gk guna juga sama kayak apk sebelah;negatif
Anna Swat;1;01/12/2023 11.54;Ku uninstal,,sangat ga paedah...;negatif
Alya Siddieqh;1;01/12/2023 11.54;Gimana cara menghapus lencana treads di Ig. Jengkel banget kok ga bisa bisa;negatif
TIAR “June” WAHYUNI;1;01/12/2023 11.26;Banyak berita yang bohong;negatif
Romi Polisi;4;01/12/2023 10.01;Hello my friend :);positif
yogis Edi Saputra nahampun (Yogis);5;01/12/2023 01.57;lumayan bagus;positif
Sri Wahyuni Rahmadanis;1;01/12/2023 01.33;Sangat sangat tidak jelas;negatif
Farah Attamimi Official;5;30/11/2023 18.11;WADAH GALAU;positif
Ahmad Arif46;1;30/11/2023 17.26;boikot smua produk apk buatan elon musk.;negatif
Nuri Apriyanti;1;30/11/2023 12.56;Sementara rate 1 dulu;negatif
Muchamad Nur Fuadi;4;30/11/2023 12.03;kapan aku dadi artis🤒;positif
aPaAja Project;1;30/11/2023 10.01;jelek gak berguna;negatif
Irvan Irvan saiifa;1;30/11/2023 09.48;Memihak;negatif
Z fold 4;5;30/11/2023 05.59;Ok;positif
Suliah Ekayanti;5;30/11/2023 04.33;Semoga amanah DM nya;positif
Street CryptoID;5;30/11/2023 02.38;Good app, Go top 5 Sosial media;positif
Aan Andika putra;1;30/11/2023 01.31;Force close terus;negatif
Me Luv;1;29/11/2023 22.55;Fiturnya masih bnyak yg kureng ya sayyy;negatif
Bagas Halayuda;5;29/11/2023 14.09;good 😱;positif
Rhomet Channel;1;29/11/2023 13.05;Ugly;negatif
Asfar Syahputra;1;29/11/2023 11.31;STOP GENOSIDA;negatif
FaraQueen;5;29/11/2023 09.40;Great app..;positif
Qalby Ramadhani;1;29/11/2023 07.25;Tidak berguna dan pilih kasih!;negatif
Wiwit Rubiarmoko;5;29/11/2023 06.51;ok;positif
FdL Centurion;1;29/11/2023 06.38;stop genocide;negatif
Kaka Shaqi;1;29/11/2023 05.41;Sangat tidak jelas fungsi nya;negatif
Deni Hartono;1;29/11/2023 01.48;Bad application, always close;negatif
rikardi rachma;1;29/11/2023 00.41;No reason;negatif
Nur Qomariah Ramadhani;1;29/11/2023 00.39;The app is as useless as its owner;negatif
Satrio Paningit;5;29/11/2023 00.25;Keren apk nya;positif
Khyraa;1;28/11/2023 09.44;❤;negatif
Muhammad Hasan;1;28/11/2023 05.54;Aplikasi tak berguna;negatif
Joni Iskandar;1;28/11/2023 03.40;Tidak profesional, standar ganda;negatif
NANI PREMADI;1;28/11/2023 02.58;Jahat;negatif
Yusuf Suharyadi;1;28/11/2023 02.54;Apk ga jelas,;negatif
Pulih Cepat;5;27/11/2023 21.47;luasan PU blim k;positif
Hilki Hikbal Rahmadon;3;27/11/2023 18.08;Lumayan,cukup di perbaiki lebih baik;netral
Izza Aulia Putri;1;27/11/2023 16.37;From the river to the sea;negatif
hettibay;1;27/11/2023 16.01;Postingan saya tentang Hamas di hapus. padahal dia tidak menyakiti siapapun. Hamas bukan teroris! Hamas tidak membunuh ribuan bayi dan wanita!;negatif
Sastra Negara;3;27/11/2023 13.09;Masih coba dulu...;netral
ahmad fauzan;1;27/11/2023 11.16;Aplikasi ini sudah tercemar dan tidak netral;negatif
Awan Harmawan;1;27/11/2023 08.55;Aplikasi Sampah tidak berguna, Anti kemanusian,pendukung penjajah dan pembantai anak anak. Tidak sudi saya memakainya.;negatif
A Frian;1;27/11/2023 08.47;Aplikasi jelek,gak bagus tambah katro lagi nyesel install aplikasi ini, Siap² unsinstall gaes.. #kecewa #kecewaberat;negatif
Anggara Ilham Oktaviana;1;27/11/2023 08.33;Asu;negatif
Anne Febri;1;27/11/2023 06.17;Sama aja aplikasi tapi ga netral, pendukung zionist, pro isriwil genosida Banyak kali utas bayaran 💩💩💩🖕🖕🖕;negatif
Rayyan Ar Rachman;1;27/11/2023 02.09;Application that support genocide 🖕;negatif
Aep Suherlan 40;5;26/11/2023 22.41;curhatan main² dll 😁😁;positif
Nur Helmi;1;26/11/2023 21.15;Stop Silencing P@l€$tine, IN$TAGR@M D1$KR1MIN@TION ACTION @GAINT P@L€$TINE;negatif
Sopia Elen;1;26/11/2023 16.36;Tidak bagu. Ilang2. Jelek. Tidak bagus. Update habis kuota;negatif
Irfan Abdillah;5;26/11/2023 15.22;sejauh ini masih aman;positif
Abdul Jabbar;2;26/11/2023 12.12;Pos gagal di unggah;negatif
anggi apriansah;5;26/11/2023 10.44;bisa buat bikin kata kata;positif
Faisal Ridho;5;26/11/2023 07.58;Keren banget;positif
Riza Daffa;5;26/11/2023 07.43;seru juga ini apk;positif
Imi Syahrial;5;25/11/2023 17.10;meski belum mengerti atau memahami cara menggunakan Threads😃;positif
Wahyu Creative;5;25/11/2023 15.59;ok;positif
Muhammad kiprowi Bng rowi;5;25/11/2023 09.27;Membantu Anda melakukan sesuatu;positif
Bri nabire;4;25/11/2023 08.17;baru belajar;positif
Romlan Arieyanto;5;25/11/2023 03.20;"Sebemer nya aplikasinya bagus simpnhk neko"" dan cenderung sedikit bot karena login lewat Instagram. Tapi tolong di tambahkan gitu DM karena jadi gk perlu buka ig. Dan ada bug ketika di alihkan ke ig gk bisa kembali harus di tutup atau gk kembali ke home screen";positif
Hanum Salsabila;4;25/11/2023 01.27;Saya lebih suka main twiter;positif
Alpha Rizky;2;24/11/2023 15.48;Kes. D k8 nmn mm mm n inn n mm mcjxmm mm mm bn..n .BB ..Bmmh;negatif
ahmad ainur;5;24/11/2023 03.35;bagus;positif
Herna Hernawansyah;5;23/11/2023 16.03;Ok;positif
Afrillia Maharaniee;3;23/11/2023 14.01;Bisa ga si klo ini jangan pake akun ig, jdi udh aja buat akun lagi gtu😭😭;netral
vick Walfareza;5;23/11/2023 13.42;kalau bisa theards ada colom curhat;positif
Karsimah Ah;5;23/11/2023 03.12;Plapom aku smogah lancar;positif
Gusti ngurah;4;22/11/2023 16.57;baik;positif
Yusuf Nur Rohman;4;22/11/2023 16.37;Kalo bisa vidio porno bolh di share di threads;positif
Kak Andri299;5;22/11/2023 15.02;Suka aku karna hemat kuota. Saya berharap aplikasi ini akan ada fitur DM-nya.;positif
Pieters Revivalist;5;22/11/2023 06.04;Mantab;positif
Kin Kin;5;22/11/2023 04.48;Kenapa threads limit terus;positif
Hamzan Rodi;3;21/11/2023 13.27;susah;netral
Wen Yumasri;5;21/11/2023 12.50;Saya pemula masih belajar;positif
Fadhil Luthfi;1;21/11/2023 12.48;You use this app for propaganda;negatif
Irjan Jafirun;5;20/11/2023 09.37;Ok puas;positif
Nurbaiti haz;1;20/11/2023 08.51;Tidak bagus;negatif
Hendryy Pangestu;5;20/11/2023 04.12;"sangat cocok untuk ngungkapkan kata""";positif
Hermawan Prakoso;5;19/11/2023 23.42;ok;positif
Nur Soleh;2;19/11/2023 20.41;"Gak ada fitur ""jangan putar otomatis video"" saya kasih bintang ⭐⭐ dulu.";negatif
MZ Husain11 (Affin25);5;19/11/2023 16.54;bagus;positif
lidia yemima oktafia;5;19/11/2023 14.30;good;positif
Ndok Lehor;3;19/11/2023 07.26;masi banyak yang kurang klo disebut bisa berjejer jejer;netral
Fabian Hernanda;5;19/11/2023 02.51;Tanpa Twitter Pindahkan Threads Terima Kasih;positif
Febi Irjayanto;5;18/11/2023 19.59;Good;positif
Muhamad Bintang P;2;18/11/2023 17.19;akun saya tidak bisa menonaktifkan dan aktifkan badge threads kenapa ya?;negatif
Sulaiman;5;18/11/2023 16.38;mantap;positif
Walang Tempur;5;18/11/2023 14.02;Please, create threads lite.;positif
Nay;1;18/11/2023 08.52;Applikasi yg dikuasai kaum zionis..meta memaksa kita membaca postingan kubu iblis....uninstall aja drpada kena efek buruk energi - nya;negatif
Astrie Nirmala;1;18/11/2023 00.48;👎 makin jelek kualitas Nya;negatif
Sugi y Sggi;4;17/11/2023 21.12;Good;positif
Aurellia Azzahra;4;17/11/2023 16.00;Good;positif
Akun Bkat;5;17/11/2023 12.50;apk yg lumayan utk menambah perkembangan akun ig yg burik;positif
Winda Roessy;5;17/11/2023 02.45;Bagus ...;positif
Fajar rasanja;1;15/11/2023 19.22;Kalo udah posting tapi habis itu tiba2 formatnya berubah jadi kotak (1:1) bukan potrait kayak reels gitu, itu kenapa ya? ada yang sama an jg ga ?? :(;negatif
655 Vanessa;5;15/11/2023 15.36;Ok;positif
bang Comed;1;15/11/2023 13.24;Terpaksa install ni app. Kalau ga di-install, notif di Instagram nyala terus setiap habis buka app ig-nya.;negatif
Wa Pace;5;14/11/2023 16.18;Gaskan;positif
Agip Dwijayanto;5;14/11/2023 16.12;Bintang 5 untuk devolevernya agar semangat ngembangin apk ini... Belum bisa menilai bagus atau engga nya untuk apk ini karna masih terbilang baru rillis masih bnyak yg harus diperbaiki terutama dari segi bugnya dan untuk para pengguna tolonglah jngan banyak mengeluh wajar banyak masalah di apk ini ,karna baru aja rillis gw yakin kedepannya apk ini pasti jadi trend;positif
Ahmad Birin;5;14/11/2023 14.45;Nyoba;positif
M Irfan;3;14/11/2023 14.31;haha;netral
norliana;2;14/11/2023 12.40;Apa dah gua udah berapa kali ngirim kode disuruh coba lagi mulu;negatif
Alex Viking93;5;14/11/2023 12.04;Bagus;positif
Firman Awan;2;14/11/2023 02.34;Apk bagus👍;negatif
Abdul Halik;5;13/11/2023 21.35;"Bagus aku suka bgt make apk ini buat nulis"" quotes soalnya tinggal share ke ig aja jdi lbh praktis";positif
