userName;score;content;label
Naseru 12;1;Threads gk ramah kayak dulu, padahal baru buka, tpi yg lewat cewek2 yg pada ngeliatin aurat nya, ni apk lama kayak fb co, mending ni apk di setting buat tulisan aja, gk usah ada upload2 gambar video segala, jadi kayak note aja;negatif
Santi Yunitasari;1;"Aplikasi nya gak bisa dibuka , cuman bisa liat beranda doang, dari cari, aktivitas sama akun gak bisa diliat, muncul tulisan ""Maaf, ada masalah. Coba lagi"" Sudah di uninstal masih aja gk bisa";negatif
Sopia Elen;1;Tidak bagu. Ilang2. Jelek. Tidak bagus. Update habis kuota;negatif
D Melinia;3;"coba deh threads ubah format tanggalnya jangan pake mingguan tapi pake tanggal & jam berapa tepat. terus, di segmen explore, improve search barnya biar ga kalah sama X & Tiktok. ini apk penulisan sisi lain Instagram, tp search barnya jangan disamain dengan IG yg lebih efektif mencarinya lewat ""#"" & nama doang";netral
Kak Andri299;5;Suka aku karna hemat kuota. Saya berharap aplikasi ini akan ada fitur DM-nya.;positif
A Frian;1;Aplikasi jelek,gak bagus tambah katro lagi nyesel install aplikasi ini, Siap² unsinstall gaes.. #kecewa #kecewaberat;negatif
Fikri D.K;3;Tolong kalau bisa Threads di bikin ketikan huruf nya diatas 6000 atau lebih agar bisa bikin postingan kata2 yang lebih panjang;netral
Irvannudin Ivan;4;beri sedikit kemudahan dan agar bisa selalu lancar gampang di hafal simpel exskitif dari dalam aplikasi untuk lebih baik dan terus terbaik untuk semua pengguna;positif
Shalahuddin Ali Basyah;5;aplikasinya sangat menarik, karena bisa posting berupa kata-kata dan tidak harus ada konten foto/video yang dimuat seperti di aplikasi utama yaitu Instagram.;positif
Alga Wahyu Aditya;4;Sebenarnya sudah bagus, sayang fitur seperti hastag masih belum tersedia, semoga diupdate terbaru mas Mark Zuckerberg nambahin banyak fitur keren.;positif
Syaid Ubaidilla;5;Aplikasinya sangat bagus dan saya suka banget tetapi alangkah baiknya kalau mendaftarnya tidak menggunakan Instagram karena hp saya terasa berat menggunakan 2 aplikasi sekaligus apalagi HP saya HP kentang;positif
Siti Aisah Siregar;1;Kenapa setiap buka apk malah out sendiri? Tolonglah perbaiki lagi;negatif
Indah Suci Selfika Sari;1;kesel banget treads gaada fotur draftnya kayak di Twitter, saya udah ngetik panjang banget sampai berjam jam hilang gitu aja cuma garagara hp saya mati udah berkali kali kek gitu, jadi hilang mood;negatif
Saska RF;2;Aku menemukan 2 bug. Yang pertama saat unggah threads dengan lampiran foto resolusi tinggi, threads tidak terunggah padahal koneksi data unggahnya berjalan, dan itu dibarengi dengan aplikasi lag bahkan sampai forceclose. Dan yang kedua saat copy teks selain huruf alphabet (seperti huruf arab, Thailand, aksara jawa), aplikasi akan mengalami lag hingga kemudian forceclose. Untuk pengembang, tolong optimalkan lagi karena beberapa apl META mempunyai masalah sama terhadap kompresi media foto & video.;negatif
Devan Febriansyah;5;Aplikasi threads ini merupakan aplikasi yang mirip sekali dengan Twitter yah, hampir mirip hampir menyerupai Twitter yah, hehehe tapi aplikasi ini menurut saya pribadi sangatlah berguna bagi para penggunanya, karena aplikasi ini tuh bisa bermanfaat baik bagi masyarakat di negara kita maupun dari luar negeri sana.;positif
Muhammad Husni Mubarok;5;Permulaan bagus ada saingan aplikasi burung. Namun masih ada beberapa bug seperti mau nulis sesuatu terkadang keyboard seperti error, tulisan kehapus sendiri, padahal normal, lalu orang2 yang mengikuti terkadang ilang pas di refresh muncul kembali, fitur hastag atau tagarnya tidak bisa di klik, mungkin gaada fitur itu, sarannya adain biar mempermudah akses yg lagi trend sepeti di aplikasi burung. Tks.;positif
VleezyGaming23;4;Sedikit saran beberapa fitur buat aplikasi ini.. mungkin bisa di optimalkan fitur zoom foto. Soalnya kadang susah klo mau liat foto gabisa di zoom.. terus mungkin tambahin Hastag (#) juga. Biar orang klo mau nulis caption tertentu bisa dijangkau lebih luas. Terus... Klo emang mau disamakan dengan Twitter, ada 2 tab beranda. Seperti Following dan For You. Oh! Sama satu lagi.. Tambahin opsi media berupa Galeri bawaan di bagian post tweet. Jadi supaya orang gampang milih foto di dalam galeri .;positif
Dardiri Dardak;4;pengalaman harii kedua setelah unduh threads, masih kurang handal untuk lampirkan foto atau vidio dengan file ukuran besar, belum dikompresi, jadinya gagal terunggah setelah beberapa kali mencoba, hapuslah akhirnya, karena cukup menganggu saat open threads berikutnya. Mungkin ini salah satu yang harus diperbaiki di aplikasi bin sofwarenya. sedangkan hal lainnya belum menemukan, jadi untuk saat awal cukuplah kasih 4 bintang;positif
Dicky Arya Saputra;3;Aplikasi udah baik. Namun, saya menemukan bug ketika akan membuat thread. Dimana ketika saya pindahkan kursor ke kata awal yang udah ditulis dan ingin mengganti kursor error tidak mau spasi ataupun ditambah huruf. Tolong juga perbaiki tampilannya agar lebih enak dilihat. Tambah juga mode gelap. Dan juga buatkan menu pemilahan antara bukan following dan following Sekian;netral
Hanabi Yasuraoka;1;Masih banyak kurangnya 🤧 gk ada translate,, Terus yg lewat di beranda kebanyakan centang biru semua,, gk ada fitur light mode & dark mode, kirim pesan,, #trending,, mau komen plus pake foto malah error / gagal terkirim,, Minimal perbaiki bug juga & kurangnya fitur Threads;negatif
Anna Rustina;1;Sama aja aplikasi eror.. Semuanya pada eror.. Gk guna juga sama kayak apk sebelah;negatif
Humairah Khadijah Az-Zahra Syauqi Al Banjari;2;Sayangnya tidak ada cara untuk mengembalikan lencana treads di profil Instagram setelah tak sengaja atau menang sengaja menyembunyikan nya.;negatif
TIPI JONO;5;Sejauh ini masih bagus, aman.. belum ada keluhan.. semoga tidak berubah jadi dating apps 😇😇🙌;positif
Dewa Gowinda;2;Kenapa masih aja, timeline isinya random banget, orang yang ga kita follow masih aja muncul di beranda. Tolong itu di atur lagii;negatif
DWI CAHYONO 0604;5;Fiturnya bagus banget, trs seru kyk Instagram;positif
Qodar iyah;4;Kok gak ada penerjemah bahasa ya..tolong dong di tingkatkan lagi..diperbaharui lagi biar bisa ngerti kalau yg lainnya berbahasa inggris maupun Korea..😔;positif
Mizzesa;3;fiturnya kurang banyak, terus isi timelinenya ga sesuai sama minat.;netral
Deren Riandry;4;selama saya coba, aplikasinya bagus sih gampang dipakai karena UInya simpel dan juga daftarnya pake akun Instagram yang udah ada jadi ga ribet. Cuma kalo bisa sih ditambahin fitur save gambar biar ga repot-repot buat screeshot terus crop manual.;positif
Zhainessa 24;4;sebenernya uda bagus cuma ada beberapa bug misalnya saat refresh itu sama sekali ga muncul postingan apapun,mw nge search juga nunggu beberapa detik walaupun ga terlalu sering muncul dan yg paling penting adain fitur translate lah developer.!;positif
Windy Alvionita;4;Kemarin masih bagus, sekarang aplikasinya sering force closed sendiri. Masih banyak fitur-fitur yang harus ditambahkan seperti tagar, trending, bookmark, simpan foto, dan direct message. Serta yang paling utama filter agar algoritma bisa mempersonalisasi apa yang menjadi interest kita. Semoga makin berkembang.;positif
Nur Fadilah;4;aplikasi bagus dan berguna juga, tapi terkadang ada bug dan keluar apk dgn sendirinya, tapi untuk sekarang aplikasi nya bagus² aja;positif
Chan_ lee;3;ini threads kenapa ga bisa up vid dengan durasi 3 menitan?? mau upload susah loh buat dokumentasi, tolong diperbaiki. udh bagus walau copy 😂;netral
Kirana Aurelizza;5;"Aplikasi nya GK neko"" , bisa kayak semacam bot gitu";positif
bilal mubarok;4;Cukup menarik sih sebagai alternatif twitter, login nya jg sangat simple . . . Animasi saat open close foto/video jg asik fluid jg . . . Mudah² an di kasih opsi biar video tdk run otomatis jd lebih hemat kuota & jg saran dr sy lebih enak klo saat di like postingan, foto video tinggal double klik kyk instagram udh cukup mantap buat app ini . . .;positif
Khalidin Brt;5;Mantap, hanya saja karena belum familiar bagi netizen atau pengguna IG, jd blm byk pengikut atau org yg berinteraksi. Masih sepi. Padahal fiturnya mirip2 FB, bagus jg;positif
zaenal abit;5;sedikit lebih plong di apk Threads, ketika mau bercerita tp tidak punya teman untuk bercerita. Threads lah tempat curhat ternyaman ku.;positif
Dul Chamid;5;puas dengan segala fasilitas yang ada thanks threads;positif
Kaka Shaqi;1;Sangat tidak jelas fungsi nya;negatif
David Lukmanul Hakim;5;bagus, tambahin fitur lagi kaya twitter;positif
Umar Sani;4;bagus tempat berpolitik,adu argumentasi jg hiburan;positif
Jannatul Zahra;4;Bagus sih tapi. Lebih bagus ada juga versi lite nya;positif
Hasmitasuri Syahidah;1;Aplikasinya sudah menurun,, postingan saya sering di hapus,,;negatif
Anindya Putri Salsabillah;5;suka banget, bisa jadi tempat curhat dan catatan kecil hidupkuh😁😁😁;positif
Ndok Lehor;3;masi banyak yang kurang klo disebut bisa berjejer jejer;netral
Vivilia Purba;5;Senang banget, karena bisa dijadikan album digital untuk masa depan. Harus tetap bertahan ya sampai kapan pun. Semangat berinovasi developer🌟;positif
arry RR;1;Postingan orang yg tidak kita ikuti muncul di beranda secara random itu ganggu banget! X is better.;negatif
Agil C. Musadat [A.C.M];2;Awal yang bagus utk pertama kali, tapi setelah beberapa kali update sungguh di sayangkan terlalu banyak Bug, hingga memakan banyak memori;negatif
rahiman syah putra;5;Aplikasinya sudah cukup bagus bagiku walaupun masih dalam pengembangan, semoga terus tetap bagus.👉😊👈;positif
Mirza;5;Mantapss, tingkatin lagi min performanya, masih ada sedikit bug;positif
holed HNDSM;2;tolong tambahkan fitur terjemahkan otomatis , terima kasih.;negatif
Touchless 91;3;kalau mau bersaing sama X, fitur fitur-fiturnya minimal disamakan dan menyeluruh;netral
Kusuma Wijaya;5;Sangat berguna dan informatif serta bermanfaat guna kemajuan era digital;positif
Ramdan Yusuf;1;Terlalu banyak apk sosial media, klw mau bikin apk yg unik dikit apa biar berbeda sama yg lain.;negatif
Muzarie Qolby;3;Saya harap ada fitur untuk menghapus followers. Selain dari itu fitur lainnya cukup menarik untuk dinikmati.;netral
Pradityas Aida Nikhaya;5;Mau ngasih saran dikit hehehe, mohon dikasih fitur untuk bisa ngesave video maupun foto🙏;positif
Kamayel Official;3;salah satu apk fav tapi msh ada bug yg mengganggu..mohon diperbaiki untuk kedepannya;netral
Agung Nugraha;5;Tolong search engine na dibuat seperti Twiter, agar lebih gampang lihat post orang lain, Dan fitur trending nya masih kosong;positif
Absurd Gama;5;Membuat status dan menulisnya Saya suka aplikasi thread dari instagram Membagikan setiap momen Sungguh luar biasa !!!;positif
Tetty Herawati;5;Threads cukup bagus, tapi tidak bisa meng edit Stts yg salah dlm mengetik;positif
Serliana;5;sngt memuaskan,,dan pelayanan juga ramah,,dan gampang d pahami penjelasan nya;positif
Sokhib Rahman;5;aplikasi bagus kontennya bisa di saring, gak kayak sebelah centang biru berbayar😂😂;positif
Asia Barat;5;Pemberitahuan 1 bulan yang lalu dan baru daftar hari ini hasil nya dapat @100j+ sampai kan nunggu nya aduh;positif
Prayoga Rizky;4;Aplikasinya sudah bagus, untuk kedepannya tolong dong tambahin fitur hastag;positif
Findri Suhartiawan;1;Aplikasinya jelek banget. Kalo mau menghapus akun Threads, pengguna harus menghapus akun Instagram dulu🤦‍♀️;negatif
Mohammad Afrizal;4;Tolong tambah mode gelap dong,sma fitur supaya bisa save video;positif
Dwi Krisna Santoso;4;Minta tolong kepada pihak threads.untuk lencana threads yang berada pada akun instagram ketika bisa disembunyikan harusnya bisa dikembalikan lagi!;positif
Febri Ardiyansa;5;Tambahkan fitur mode gelap sama bisa like postingan dengan ketuk 2x;positif
KARYA PURNAMA SARI;5;simple bagi aku pengguna yang masih kurang paham cara main nya threads, tapi mau belajar pasti bisa⭐⭐⭐⭐⭐;positif
Ula Kauni Alima;4;Tolong dikasih fitur edit dong saat udah dipublish, biar kalau typo ga perlu hapus dan aplud ulang threads.. kan lelah.;positif
nafsiah57;3;Udah diperbarui tapi kok fitur barunya gak muncul, jadi males buka threads;netral
Fiola Alvita Zara;1;kenapa kalau ga sengaja belum ke kirim atau gagal ngirim post ga ada masuk ke draft? mana lupaan lagi;negatif
Abui Len;3;Aplikasinya sudah bagus cuma ada yang kurang saran saya sih berikan beberapa fitur yang lain seperti translate, dan untuk menyimpan gambar ataupun vidio yang paling penting sih translate nya aja min. -salah satu pengguna treads :);netral
theresia anik;3;Aku kasih bintang 3 dulu semoga bisa diperbaiki kedepannya, catatanku : belum ada fitur translate, beranda masih campur aduk padahal tidak memfollow, tidak ada tema untuk tampilan dark mode, fitur auto following dihilangkan saja, ada pilihan untuk hapus akun, tidak ada bookmark Semoga jadi perhatian terimakasih;netral
Ma'mur Zaky Nurrokhman;1;Aplikasi tidak berjalan dengan baik di smartphone saya dengan Android 9. Aplikasi seperti gagal untuk me-render setiap pergerakan animasi, jadi tampilan dalam aplikasi terlihat bertumpuk. Hal itu terjadi baik saat scrolling maupun berpindah halaman di aplikasi.;negatif
FebrianDD;4;Aplikasi baru liris, masih ada banyak bug dan kendala server seperti buffering homepage yang terlalu lama padahal sudah clear data cache dan jaringan stabil, saat mau searching hanya muncul tampilan akun saja tidak ada postingan apapun selain akun orang, memang aplikasi ini mirip Twitter tapi fiturnya masih kurang drastis sebenarnya tidak masalah asalkan tidak ada batasan atau close server.;positif
Panca Pratama;1;lumayan bagus untuk aplikasi sosmed yang baru rilis, cuma masih ada yang harus diperbaiki 1. harusnya ada opsi auto play video yang bisa dimatikan biar hemat kuota 2. tidak ada fitur dm 3. interface yang biasa saja 4. ini yang bikin kalah jauh sama twitter yaitu fitur trending topik yang gak ada di threads.;negatif
Muhammad Nur Alim;2;Ketika di scroll semua content terulang seperti ketika anda berhasil memenangkan permainan solitaire pada windows xp mungkin mark ingin membuat efek motion blur atau apa saya tidak tahu, bug ini hilang jika saya membuka recent app saya dan menutupnya kembali namun bug ini akan tetap ada ketika saya menscroll halaman;negatif
Aldi Aldisns;4;Aplikasi nya udh bagus tapi ada beberapa fitur yang ditambahkan, seperti fitur untuk save foto, futur translate, dan fitur agar dapat membuat lebih dari satu akun. Menurut saya fitur ini harus ada, jika nanti sudah ada fitur-fitur tersebut baru nanti dikasih bintang lima;positif
Rian Rian;3;sumpah nih apk bagus banget, cuma tampilannya aja kurang oke menurut ku. 1. Tombol Like koment dan share nya sangat berdekatan jadi kadang salah pencet. 2. Tidak ada fitur dm. 3. Tidak ada fitur untuk melihat siapa yg belum follow back kita. 4. Tidak ada fitur search timeline (semoga update kedepannya bakal dipertimbangkan untuk ditambahkan);netral
Rafly Setiawan;1;Baru download bbrapa jam yg lalu, udah mulai muncul bug nya aduug padahal seru dan udah mulai muncul APLIKASI TERHENTI, notifikasi gak muncul, masih bayi kali ya jadi harus ada penyesuaian. Tapi kalo bisa secepatnya di perbaiki sih kalo gak mau kalah saing sama aplikasi burung putih;negatif
Aghna Faqih;5;Bagus sih... Tapi kalau bisa tingkatkan lagi bisa untuk upload dari Instagram langsung bisa masuk ke Threads. Jadi tidak perlu upload dua kali ke Instagram dan Threads. Lebih simpel dan praktis. Seperti buat story dari Instagram ke FB;positif
kecap hi;4;Bagus bangat, serasa nostalgia di apk burung jaman old.;positif
Alif SyahPutra;1;aneh, padahal dah keinstal tapi tidak muncul di halaman layar, saya yakin ini bug aplikasinya, karena saat saya mencoba mengunduh aplikasi lain baik² saja tapi saat threads di instal tidak mau muncul di halaman layar. Bahkan saat dicoba untuk dibuka dari playstore pun tetap tidak bisa, tapi setelah saya hapus dan unduh lagi selama 3x baru bisa. Hadehh buang buang kuota internet;negatif
Priyo Adi Kurotaa'yun;1;Kenapa gak bisa di buka? Terjadi kesalahan. Padahal baru login.;negatif
Mas Ibnusya;5;Betah di sini, enak. Gak ada pilih kasih. Gak minder sebab pengguna baru. Toh tulisan pengguna baru sekali pun langsung berada di beranda orang lain, meskipun mereka gak mem-follow kita.;positif
Ruslan Zainuddin;4;Tingkatkan lagi fitur-fiturnya agar lebih menarik & ramai dikunjungi. 👍;positif
Yatmin Min;3;sementara tiga bintang dulu, krn ini baru blajar aplikasi ini, sementara lumayan bagus gak ribet ,,;netral
J;1;Newsfeed terlalu berantakan, postingan yang muncul tidak tertata semua akun centang biru yang tidak jelas dan tidak relevan dengan minat saya. Orang saya follow malah jarang terlihat postingannya. Menu juga sangat terbatas seperti edit profil semua harus di edit di akun Meta atau akun Instagram;negatif
Havifah Havifah;3;Baru sekali post sih masih belum ramai dikunjungi, nunggu akhir tahun X ya;netral
michelle putri winarko;5;Bagus banget apk nya walaupun ada sedikit bug;positif
Ayu Syafitri;4;Aplikasinya baguss, saya nyaman pakainya. Saya predikis aplikasi ini bakal jadi app yang rame sih kedepannya. Cuman minta ditambahin fitur-fiturnya dong. 1. EDIT THREAD (soalnya kalau ada salah di konten yg udah kita upload, itu harus hapus lagi dan ketik ulang. Repot;positif
Rnt;3;Okee apk nya udah lumayan bagus tapi mohon banget buat ditingkatkan fitur-fitur lain seperti - translate karena perlu banget buat kebutuhan ngefangirling🙏🏻 - juga tolong banget untuk memposting foto/videonya agar bisa per-folder supaya gak cape ngescroll kebawah-bawah, soalnya isi galeri saya banyak :) - selanjutnya buat android tolong segarakan bisa save foto, soalnya saya mau save memeಥ⁠‿⁠ಥ Note: mohon didengar, karena ini bakal diubah tergantung fitur apk nya;netral
Hadi Santoso;5;Tambahin fitur translet bahasa dong. Bagi saya yang tidak mengerti bahasa asing untuk menikmati utasan orang lain yg pakai bahasa asing jadi tidak bisa! Nanti setelah ada fitur translet saya akan mengedit ulasan saya menjadi bintang 5. Mantap sudah di tambahan fitur nya⭐⭐⭐⭐⭐;positif
Amrul H;5;Aplikasi yang sangat berguna! Antarmukanya intuitif dan mudah digunakan. Saya sangat terbantu dengan fitur-fitur yang disediakan. Terima kasih kepada pengembang atas kerja kerasnya!;positif
soobrangdaninmyheart;2;Please perbaikin timeline nya, banyak akun yang gak di follow malah yang muncul, susah cari akun yang di follow harus nyalain notifikasi lonceng dulu baru ada, gak ada bookmark, gak ada pin...;negatif
Imam Imron Ali;3;Sama seperti Twitter tidak ada Abuse User, Akun ku masih Sepi, bisa Upload Foto/Gambar Meme dengan Lancar meskipun Kualitas nya tidak HD atau HQ, masih belum menemukan Bug.;netral
Kelvin Hxw;3;Saat memutar video, suara selalu mati, tolong sediakan settingan agar bisa selalu dibuka, agar tidak perlu buka suara satu2 videonya;netral
Yungyit harmoni musik;5;sama persis spt Twitter, cuma lebih seneng aja upload foto ukuran besar,gak capek2 di edit dulu,semoga bisa ditingkatkan dg fitur 2 yg lebih menarik,;positif
Mona Risa;1;Ini apk apa? Knp gr2 instal apk ini kok tiba2 akun2 aku hmpir di hack. Parah. Trs pas apk di uninstal kok tiba2 muncul lg di folder lain. Ngeri;negatif
Riska;5;pendapat aku ini bagus sih kaya Facebook... buat unggah foto nya bagus disini gak seburam kaya di Facebook cuma gak bisa buat balas pesan ya. dan aku hapus kembali karena malas kebanyakan aplikasi gak penting 😅;positif
hamidul umar;1;Ga asik guys, ujung-ujungnya followers kita banyak yang like tetap dikit, percuma tombol ikuti di buatkan tapi yang ikuti tidak bisa melihat kiriman kita melayang di berandanya. 😂 Yaaaa ujungnya anda jugalah yang pasti kecewa 🙏😁;negatif
Halim Himawan;1;tidak bisa menggunggah foto beresolusi tinggi seperti foto dari kamera DSLR, selalu gagal mengunggah tolong diperbaiki.;negatif
AKHMAD FAISHOL;1;Banyak yang mengeluh setelah hapus / sumbunyikan lencana treads, tidak bisa menampilan id akun treads di bio instagram 😢😢😢 Mohon munculkan lagi lencana treads min 🙏🙏🙏;negatif
Abdul Halik;5;"Bagus aku suka bgt make apk ini buat nulis"" quotes soalnya tinggal share ke ig aja jdi lbh praktis";positif
N K;3;Untuk tombol like gak selengkap FB;netral
kaunda mahardika;5;Sangat bagus dan membantu supaya bisa langsung terhubung dengan beberapa akun lain;positif
Hendra Dy;5;Semoga tambah bagus lagi. Saran min kedepannya jangan hanya akun centang biru diberanda kita, minimal konten yang kita sukai /relevan dengan akun kita saja yang muncul seperti algoritma di instagram;positif
Cocot Receh;5;Tolong pihak threads dan ig naikin keamanan nya, karena baru saja terjadi threads saya kena phising dan hasilnya akun ig saya kena retas orang lain yang saya tidak kenal tolong naikin keamanan nya, karena saya sangat d rugikan ..;positif
Dodi Heryanto;2;Tolong tambahkan fitur untuk menyimpan file video;negatif
Braxy Kw;1;Aplikasi penuh dengan ketelanjangan, sangat disayangkan ,banyak cewek2 penjual diri yang sangat banyak, aku rekomendasiin jangan download.;negatif
kang mie;1;habis diupdate kok malah lelet mana kabar brandanya stak ini itu itu aja yang tampil;negatif
hettibay;1;Postingan saya tentang Hamas di hapus. padahal dia tidak menyakiti siapapun. Hamas bukan teroris! Hamas tidak membunuh ribuan bayi dan wanita!;negatif
VERO;2;Ini masih banyak kekurangan, 1. Tidak ada terjemahan padahal yang mengunakan berbagai negara. 2. Tidak bisa mengirim pesan. Catatan: jangan pernah ada iklan di threads supaya tidak menjengkelkan. Cukup Instagram yang banyak iklan threads jangan. Thank you:);negatif
QLSD7GN3WF6 BLT5.3;1;Masih enak di Twitter, karena bisa menerjemahkan bahasa asing, ini belum bisa dan seharusnya login nya tidak harus pakai Instagram, ada yang ngeluh menghapus apk ini sama aja menghapus akun Ig.;negatif
Hilki Hikbal Rahmadon;3;Lumayan,cukup di perbaiki lebih baik;netral
gilang;4;over all bagus, berasa nostalgia pake app sebelah. saran untuk mimin : 1. tambahkan fitur #hashtag 2. tambahkan fitur translate 3. tambahkan fitur save photo pada device android 4. jangan dikit2 kasih warning ke konten yang sebenernya fine fine aja. sisanya udah oke semua. tetep konsisten ya, jangan sampe appnya jadi banyak iklan. thanks!;positif
MUHAMAD RIFKI SUMARNA;4;Saya menemukan bug dimana saat melihat foto / video yang tampil di beranda maupun di akun orang lain, media tersebut tidak mau memperlihatkan gambar ataupun video padahal koneksi internet saya sangat teramat lancar.;positif
Muhammad Dhiman Abror;4;Cukup baik dan designnga ala X. Saran aja sih itu ikon + plus di akun yang ga difollow diilangin, kurang nyaman dilihat.;positif
Renatta Matindas;3;Satu masukan, kayaknya butuh segera dibuat fitur beranda khusus yang kita ikuti aja deh semacam ig. Biar lebih nyaman scrolling karena yang sekarang ini rancu banget random orang-orangnya, random yang serandom itu jadi bikin agak males...;netral
fikar husain;3;Minimal postingan nya bisa di arsip lah 😞;netral
Akun Bkat;5;apk yg lumayan utk menambah perkembangan akun ig yg burik;positif
Afgha “Shadows 14” Tsa Nanda;3;Sejauh ini cukup bagus. Untuk algoritma feeds mungkin bisa dipertahankan seperti ini tapi dengan mengurangi postingan rekomendasi, lebih utamakan postingan dari akun yang kita follow saja. Untuk yang lainnya mungkin hadirkan juga fitur terjemahan.;netral
Fahmi Nurdiansyah Channel;4;Menurut aku sih enakan aplikasi burung lebih tenang warna tampilannya;positif
Hasan Diningrad;1;Halah, ini kenapa akun saya Selalu gagal mengirim utas. Tolong jawabannya....;negatif
I Made Sujana;5;lancar dan bisa upload media full HD;positif
Roman Aditya;5;aplikasi yang bagus dan semoga bisa lebih baik kedepan nya;positif
gene kaa;1;Ini kenapa ya, parah banget saya bikin postingan dari pagi sampai sore ga kelar kelar. Mohon dong diperhatikan lagi🙏;negatif
Anne Febri;1;Sama aja aplikasi tapi ga netral, pendukung zionist, pro isriwil genosida Banyak kali utas bayaran 💩💩💩🖕🖕🖕;negatif
Martinus Gultom;5;Untuk aplikasi nya sudah bagus, tapi tolong kedepannya di tambahin fitur seperti translate, save photo dan mode penghemat data. thanks;positif
Air Bersih;5;Aplikasi ini lebih bagus daripada yang Ono noh yg dulu logonya burung warna biru skarang jadi logo X berlatar hitam🙄 Thank Threads Semoga tidak seperti aplikasi sebelah penuh drama dn aturan nya ehmm🥺🤗;positif
suhohyung;2;"saat memosting foto banyak sekaligus, aplikasi tiba tiba keluar sendiri, dengan tulisan ""threads telah berhenti"". mohon untuk pihak aplikasi segera memperbaiki, terimakasih 🙏";negatif
Aldi Nur Saputra;4;Tolong tambahkan fitur edit ketika ingin mengupload media. Ketika saya ingin mengupload foto dan perlu ditambahakan kata-kata atau sticker maupun memotong ukuran foto itu belum tersedia. Jadi harus mengubahnya/menambahkan di luar aplikasi ini.;positif
Rama ID;5;Kedepannya kembangin lagi bang Zuck, algoritmanya udah bagus cuma kurang lengkap beberapa fitur contohnya kayak save foto ada juga beberapa masalah seperti masalah loading saat upload yang memakan waktu dan juga pusat notifikasi yang jadi menumpuk;positif
hhmm;4;Pengalaman saya selama ini di hp oppo realme c2 OS 9.0 pas mode gelap bawaan dari realme nyala, aplikasi Threads ngebug dengan tampilan menumpuk dan berulang terus. Namun setelah mode gelap bawaan realme saya matikan aplikasi Threads dapat berjalan dengan normal.;positif
Ristella Cinere;3;Nggak terlalu mirip sama si burung. Aku butuh fitur semacam translate, tagar, pokoknya yang persis si burung. Selain itu kayanya udah oke. Oh iya, tolong tambahin fitur edit dong pas nge threads. Biar kalau ada typo or something bisa diperbaiki. Mungkin kalau terlalu mirip bakal di cap plagiarisme ya? Idk but aku bener bener butuh fitur yang kusebutin diatas. Resolusi pas ngunggah foto juga tolong diperbaiki. Tq;netral
